Prep,Day,Treatment,Condition,Cell #,Cell Area,LAMP1(5-500),Size LAMP1(5-500),LAMP1(>500),Size LAMP1(>500),LC3(5-500),Size LC3(5-500),LC3(>500),Size LC3(>500),LAMP1+LC3(5-500),Size LAMP1+LC3(5-500),LAMP1+LC3(>500),Size LAMP1+LC3(>500),
HA842,D4,CQ,N1,18,858974,935,24.55,8,829.75,379,28.4,4,730.75,79,90,4,700,
HA842,D4,CQ,N1,14,648555,465,31.44,6,909.5,470,26.86,5,550.6,139,65.87,4,538.75,
HA842,D4,CQ,N1,11,457431,341,27.15,10,904.9,4,5.5,0,0,3,5.66,0,0,
HA842,D4,CQ,LG,5,230704,187,22.97,1,703,232,24.97,0,0,80,31.93,0,0,
HA842,D4,CQ,LG,9,429790,273,21.96,5,670,125,27.64,0,0,56,47.5,0,0,
HA842,D4,CQ,LG,9,143744,372,31.8,3,773,114,38.68,2,567,41,43.65,1,604,
HA842,D4,CQ,NG,2,68763,160,57.2,5,2374.6,179,32.12,5,1146,88,56.55,4,1300.75,
HA842,D4,CQ,NG,5,41768,131,43.33,6,1108.1,59,33.13,1,661,34,50.11,1,622,
HA842,D4,CQ,NG,5,94701,194,28.082,5,1898.6,153,37.15,3,682.6,96,51.13,3,666,
HA842,D4,D+T,N1,9,549107,1068,25.48,4,865,137,24.59,1,527,48,50.31,1,515,
HA842,D4,D+T,N1,7,111935,279,26.09,2,819,201,17.14,1,795,47,45.55,1,759,
HA842,D4,D+T,N1,9,175011,291,30.07,2,765.5,257,27.71,0,0,66,50.36,0,0,
HA842,D4,D+T,LG,5,236108,51,23.64,3,714,17,70.58,1,572,12,91.58,1,596,
HA842,D4,D+T,LG,5,342465,111,26.33,1,548,15,52.66,0,0,15,51.6,0,0,
HA842,D4,D+T,LG,6,304351,789,36.87,9,2092.77,39,18.51,0,0,25,24.56,0,0,
HA842,D4,D+T,LG,5,307530,82,26.87,1,538,15,39.6,0,0,15,38.66,0,0,
HA842,D4,D+T,NG,3,78419,67,38.89,1,921,0,0,0,0,0,0,0,0,
HA842,D4,D+T,NG,4,109723,103,27.33,3,716.66,171,16.08,2,741,30,36.86,2,659.5,
HA842,D4,D+T,NG,13,903515,303,26.69,8,847.75,8,5.25,0,0,7,5.28,0,0,
HA851,D2,CTRL,N1,20,221535,160,24.72,1,554,30,21.33,0,0,18,28.77,0,0,
HA851,D2,CTRL,N1,11,224502,239,22.31,4,750.25,62,23.67,1,1151,60,23.75,1,1151,
HA851,D2,CTRL,N1,31,385389,652,38.52,5,1818.4,318,16.26,0,0,211,18.46,0,0,
HA851,D2,CTRL,LG,18,320953,531,18.7,0,0,63,16.19,0,0,25,19.12,0,0,
HA851,D2,CTRL,LG,15,445422,431,16.43,0,0,37,17.32,0,0,13,37.23,0,0,
